assignee,count
"安徽继远软件有限公司, 国网信息通信产业集团有限公司, 国网江苏省电力有限公司信息通信分公司, 国家电网有限公司, 国网北京市电力公司信息通信分公司, 国家电网有限公司信息通信分公司, 国网浙江省电力有限公司信息通信分公司",2
3M创新有限公司,2
Ge医疗系统环球技术有限公司,2
北京正道量子科技有限公司,2
宁波大学,2
北京算讯科技有限公司,2
北京缔科新技术研究院(有限合伙),2
Magiq技术公司,2
"中天通信技术有限公司, 中天宽带技术有限公司, 江苏中天科技股份有限公司",2
南京师范大学,2
"哈尔滨工业大学, 北京大学",2
同济大学,2
中兴通讯股份有限公司,2
"中南大学, 邵阳学院",2
中国石油大学(北京),2
合肥量芯科技有限公司,2
中国人民解放军第三军医大学第一附属医院,2
中国信息通信研究院,2
中国农业大学,2
中国海洋大学,2
"中国科学技术大学, 北京卫星信息工程研究所",2
四川航天系统工程研究所,2
华东理工大学,2
中国科学院安徽光学精密机械研究所,2
上海朗研光电科技有限公司,2
华灿光电股份有限公司,2
东北师范大学,2
东北大学,2
四川农业大学,2
中国科学院光电技术研究所,2
哥本哈根大学,2
哈尔滨理工大学,2
山东国迅量子芯科技有限公司,2
南通大学,2
巴黎矿业电信学院,2
"广东国科量子通信网络有限公司, 国科量子通信网络有限公司",2
北京中科国光量子科技有限公司,2
"北京中科弧光量子软件技术有限公司, 国药控股上海生物医药有限公司",2
佛山市顺德区德雅军民融合创新研究院,2
广东水利电力职业技术学院（广东省水利电力技工学校）,2
北京一流科技有限公司,2
北京信息科技大学,2
住友电气工业株式会社,2
克里公司,2
"北京大学, 北京邮电大学",2
北京中科弧光量子软件技术有限公司,2
"国网山东省电力公司信息通信公司, 山东鲁能软件技术有限公司, 国家电网有限公司",1
"国网江苏省电力有限公司南京供电分公司, 南京南瑞国盾量子技术有限公司, 南京南瑞信息通信科技有限公司, 南瑞集团有限公司, 国网江苏省电力有限公司, 国家电网有限公司",1
"国网河南省电力公司信息通信公司, 国家电网公司",1
国网浙江省电力有限公司杭州供电公司,1
"国网浙江省电力有限公司绍兴供电公司, 绍兴建元电力集团有限公司, 浙江华电器材检测研究院有限公司, 浙江国盾量子电力科技有限公司",1
"国网浙江省电力有限公司金华供电公司, 国网浙江省电力有限公司东阳市供电公司, 东阳市光明电力建设有限公司, 浙江国盾量子电力科技有限公司, 科大国盾量子技术股份有限公司",1
"国网电子商务有限公司, 国网区块链科技(北京)有限公司, 国网雄安金融科技集团有限公司",1
"国网福建省电力有限公司福州供电公司, 国网福建省电力有限公司, 国网信息通信产业集团有限公司, 国网信通亿力科技有限责任公司, 国家电网公司",1
基因泰克公司,1
"复旦大学, 上海集成电路制造创新中心有限公司",1
大连工业大学,1
大连科技学院,1
天津中科飞航技术有限公司,1
天津大学合肥创新发展研究院,1
天津工业大学,1
天津市城市规划设计研究总院有限公司,1
奥斯兰姆奥普托半导体有限责任公司,1
姜年权,1
季华实验室,1
宁波东旭成新材料科技有限公司,1
"国网江苏省电力公司, 江苏方天电力技术有限公司, 国家电网公司",1
"国网安徽省电力有限公司电力科学研究院, 安徽省国盛量子科技有限公司",1
宁波革鑫新能源科技有限公司,1
国立大学法人北海道大学,1
吉林工程技术师范学院,1
咸阳师范学院,1
哈佛大学校长及研究员协会,1
哈尔滨工业大学（深圳）,1
嘉兴学院,1
"四川中科微纳科技有限公司, 四川农业大学",1
四川元匠科技有限公司,1
四川奥地建筑设计有限公司,1
四川知本快车创新科技研究院有限公司,1
四川长虹电器股份有限公司,1
因芬尼昂技术股份公司,1
国家海洋局第三海洋研究所,1
"国科量子通信网络有限公司, 北京邮电大学",1
"国科量子通信网络有限公司, 广东国科量子通信网络有限公司",1
"国科量子通信网络有限公司, 科大国盾量子技术股份有限公司, 中国科学技术大学, 上海交通大学",1
"国立大学法人三重大学, 国立大学法人名古屋大学",1
国立大学法人东京大学,1
"国立大学法人东北大学, 国立大学法人北海道大学",1
"国立大学法人九州工业大学, 株式会社塞斯科姆",1
宁波激智科技股份有限公司,1
宁波飞芯电子科技有限公司,1
合肥学院,1
"山东量子科学技术研究院有限公司, 济南量子技术研究院",1
常州大学,1
常州大连理工大学智能装备研究院,1
广东中远建设投资管理有限公司,1
广东卓柏信息科技有限公司,1
"广东国盾量子科技有限公司, 科大国盾量子技术股份有限公司",1
广东国科量子通信网络有限公司,1
"广东国腾量子科技有限公司, 华中科技大学",1
广东康烯科技有限公司,1
广东德泰量子科技有限公司,1
广东普加福光电科技有限公司,1
广东智爱机器人科技有限公司,1
广东泰宝医疗器械技术研究院有限公司,1
广东省内河港航产业研究有限公司,1
广东聚华印刷显示技术有限公司,1
广州市保伦电子有限公司,1
广州爱浦路网络技术有限公司,1
广州赛度检测服务有限公司,1
广明源光科技股份有限公司,1
广西民族大学,1
巴拿利提科有限公司,1
山东量子科学技术研究院有限公司,1
安华高科技Ecbuip(新加坡)私人有限公司,1
山东航天电子技术研究所,1
安华高科技杰纳勒尔Ip（新加坡）私人有限公司,1
安娜钻机国际有限公司,1
安徽华典大数据科技有限公司,1
安徽安匠信息科技有限公司,1
安徽皖通邮电股份有限公司,1
安徽省国盛量子科技有限公司,1
安徽省地震局,1
安徽科昂纳米科技有限公司,1
"安徽量子通信技术有限公司, 山东量子科学技术研究院有限公司",1
